"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.11.2024","80,20","79,50","80,43","77,85","44,65M","1,39%"
"07.11.2024","79,10","78,29","79,31","76,53","42,34M","1,00%"
"06.11.2024","78,32","78,66","79,90","77,66","39,31M","1,21%"
"05.11.2024","77,38","77,69","78,20","76,86","15,72M","0,34%"
"02.11.2024","77,12","76,62","77,44","76,42","9,87M","0,65%"
"01.11.2024","76,62","75,25","76,85","74,53","21,29M","1,82%"
"31.10.2024","75,25","75,91","76,47","74,73","26,55M","-1,23%"
"30.10.2024","76,19","77,56","78,42","76,00","27,66M","-1,63%"
"29.10.2024","77,45","76,33","78,08","74,90","33,40M","1,64%"
"28.10.2024","76,20","79,15","80,19","75,16","51,21M","-4,62%"
"25.10.2024","79,89","82,66","83,30","79,67","45,32M","-3,33%"
"24.10.2024","82,64","82,40","82,90","81,20","21,04M","0,51%"
"23.10.2024","82,22","83,41","84,98","81,84","39,40M","-1,63%"
"22.10.2024","83,58","84,65","85,10","83,45","16,82M","-1,33%"
"21.10.2024","84,71","84,98","85,21","84,42","12,25M","-0,15%"
"18.10.2024","84,84","84,81","85,40","84,01","27,47M","-0,29%"
"17.10.2024","85,09","85,78","86,07","84,80","15,04M","-0,85%"
"16.10.2024","85,82","86,80","87,62","85,00","23,58M","-0,98%"
"15.10.2024","86,67","86,49","87,17","86,21","17,83M","-0,03%"
"14.10.2024","86,70","85,58","86,99","84,60","32,16M","1,27%"
"11.10.2024","85,61","86,18","86,31","85,20","17,19M","-0,64%"
"10.10.2024","86,16","89,47","89,66","85,90","64,09M","-4,04%"
"09.10.2024","89,79","85,71","89,90","85,13","38,42M","4,59%"
"08.10.2024","85,85","86,25","86,48","85,37","14,05M","-0,67%"
"07.10.2024","86,43","86,80","87,10","85,37","17,32M","-0,23%"
"04.10.2024","86,63","87,35","87,71","86,22","15,79M","-0,69%"
"03.10.2024","87,23","85,90","87,49","84,69","32,07M","1,24%"
"02.10.2024","86,16","87,70","88,12","85,00","25,19M","-1,55%"
"01.10.2024","87,52","89,05","89,08","86,37","38,01M","-1,70%"
"30.09.2024","89,03","90,75","91,42","88,92","24,73M","-1,70%"
"27.09.2024","90,57","90,94","91,50","90,31","19,16M","-0,21%"
"26.09.2024","90,76","90,80","91,84","89,82","23,84M","-0,08%"
"25.09.2024","90,83","92,76","94,60","90,31","47,53M","-1,96%"
"24.09.2024","92,65","92,20","93,95","90,81","36,59M","0,75%"
"23.09.2024","91,96","89,70","92,37","89,56","36,11M","2,92%"
"20.09.2024","89,35","88,51","89,90","88,42","20,22M","0,93%"
"19.09.2024","88,53","88,06","89,36","87,61","20,28M","0,68%"
"18.09.2024","87,93","90,10","90,95","87,33","24,06M","-2,41%"
"17.09.2024","90,10","88,67","90,39","87,81","20,55M","1,67%"
"16.09.2024","88,62","87,70","89,75","87,33","29,73M","1,70%"
"13.09.2024","87,14","85,75","87,42","83,81","49,23M","1,09%"
"12.09.2024","86,20","87,18","87,50","85,22","29,27M","-1,15%"
"11.09.2024","87,20","88,70","89,48","86,84","22,05M","-1,90%"
"10.09.2024","88,89","91,43","91,50","88,12","28,60M","-2,21%"
"09.09.2024","90,90","87,63","91,00","87,56","30,93M","4,12%"
"06.09.2024","87,30","87,30","88,15","86,50","22,26M","0,11%"
"05.09.2024","87,20","89,04","90,08","86,79","35,95M","-2,06%"
"04.09.2024","89,03","86,41","89,38","85,83","34,35M","3,25%"
"03.09.2024","86,23","86,47","89,06","84,14","54,50M","0,15%"
"02.09.2024","86,10","90,96","91,06","85,20","62,71M","-5,88%"
"30.08.2024","91,48","96,06","96,32","91,00","41,81M","-4,73%"
"29.08.2024","96,02","97,03","97,60","95,35","19,55M","-1,03%"
"28.08.2024","97,02","97,07","97,32","95,00","23,36M","0,14%"
